"Column1.1","Column1.2","Column1.3","Column1.4","Column1.5"
"2020.04.01","","","",""
"szerda","10","3.1","1.9","0"
"2020.04.02","","","",""
"csütörtök","11.1","3.2","2.8","0"
"2020.04.03","","","",""
"péntek","13.8","4.2","4.1","0"
"2020.04.04","","","",""
"szombat","15","6.6","3.8","0"
"2020.04.05","","","",""
"vasárnap","15.9","7.9","4.6","0"
"2020.04.06","","","",""
"hétfő","15.6","8","3.8","0"
"2020.04.07","","","",""
"kedd","17","8.2","1.9","0"
"2020.04.08","","","",""
"szerda","19.2","9.8","1.4","0"
"2020.04.09","","","",""
"csütörtök","20.5","11.3","3.9","0"
"2020.04.10","","","",""
"péntek","18.8","12.5","4.7","0"
"2020.04.11","","","",""
"szombat","18.9","10.6","2.5","0"
"2020.04.12","","","",""
"vasárnap","17.9","10.8","3.4","0"
"2020.04.13","","","",""
"hétfő","21.1","11.9","6.1","0.3"
"2020.04.14","","","",""
"kedd","10.9","7.2","6.9","0.2"
"2020.04.15","","","",""
"szerda","13.6","5.3","5","0"
"2020.04.16","","","",""
"csütörtök","19.5","8.1","4.1","0"
"2020.04.17","","","",""
"péntek","21.4","11.4","5.4","0"
"2020.04.18","","","",""
"szombat","20.5","12.7","3","1"
"2020.04.19","","","",""
"vasárnap","17","12.4","5.1","11.4"
"2020.04.20","","","",""
"hétfő","15.4","8.4","5.5","0"
"2020.04.21","","","",""
"kedd","16.2","7.8","6","0"
"2020.04.22","","","",""
"szerda","17.2","8.4","4.1","0"
"2020.04.23","","","",""
"csütörtök","18.5","9.6","2.8","0"
"2020.04.24","","","",""
"péntek","18.9","11.4","4.7","0"
"2020.04.25","","","",""
"szombat","18.4","12.3","8.5","0.4"
"2020.04.26","","","",""
"vasárnap","18.3","9.2","3.2","0"
"2020.04.27","","","",""
"hétfő","18.8","10.9","3.9","0"
"2020.04.28","","","",""
"kedd","22.2","12.1","5.3","2.5"
"2020.04.29","","","",""
"szerda","18.4","14.2","5.6","3.1"
"2020.04.30","","","",""
"csütörtök","21","12.1","6.3","0.5"
"2020.05.01","","","",""
"péntek","19.1","14.1","4.8","1.1"
"2020.05.02","","","",""
"szombat","19.4","12.3","6","0"
"2020.05.03","","","",""
"vasárnap","17.8","10.9","7.9","0"
"2020.05.04","","","",""
"hétfő","19.5","10","4.1","0.1"
"2020.05.05","","","",""
"kedd","17.5","12","7.4","4.8"
"2020.05.06","","","",""
"szerda","15.6","8","8.5","0"
"2020.05.07","","","",""
"csütörtök","16.3","9.4","8","0"
"2020.05.08","","","",""
"péntek","21.8","9.7","2.6","0"
"2020.05.09","","","",""
"szombat","23.1","14.1","3.4","0"
"2020.05.10","","","",""
"vasárnap","24","15.8","4.2","0"
"2020.05.11","","","",""
"hétfő","24.6","15.8","8.3","0"
"2020.05.12","","","",""
"kedd","15.5","8.4","7.9","0"
"2020.05.13","","","",""
"szerda","11.2","7.3","3.5","1"
"2020.05.14","","","",""
"csütörtök","22.4","11.3","4.7","0.6"
"2020.05.15","","","",""
"péntek","19.4","11.1","7.6","4.1"
"2020.05.16","","","",""
"szombat","19.9","9.1","3.1","0"
"2020.05.17","","","",""
"vasárnap","20.9","12.8","3.5","6.3"
"2020.05.18","","","",""
"hétfő","24.3","13.7","2.4","0"
"2020.05.19","","","",""
"kedd","25.1","16.7","4","0.1"
"2020.05.20","","","",""
"szerda","19.7","15.7","3.7","9.7"
"2020.05.21","","","",""
"csütörtök","20","13.2","4.9","0"
"2020.05.22","","","",""
"péntek","19.1","11","4.1","0"
"2020.05.23","","","",""
"szombat","16.8","13","3.1","1.5"
"2020.05.24","","","",""
"vasárnap","19.9","12","9.9","2.7"
"2020.05.25","","","",""
"hétfő","17.9","12","7.1","0.2"
"2020.05.26","","","",""
"kedd","20.4","10.5","4.8","2"
"2020.05.27","","","",""
"szerda","21.8","12.1","3.9","1.2"
"2020.05.28","","","",""
"csütörtök","20.9","13.1","6.1","0.3"
"2020.05.29","","","",""
"péntek","20.4","12.5","4.8","1.2"
"2020.05.30","","","",""
"szombat","19.7","12.5","3.9","5.1"
"2020.05.31","","","",""
"vasárnap","13.4","10.7","8.3","0"
"2020.06.01","","","",""
"hétfő","22.4","12.1","4.3","1.5"
"2020.06.02","","","",""
"kedd","19.9","13.5","4.8","0.2"
"2020.06.03","","","",""
"szerda","21.8","11.7","3.9","1.3"
"2020.06.04","","","",""
"csütörtök","24.5","14.6","7.9","1.3"
"2020.06.05","","","",""
"péntek","23.3","16.6","7.6","9.1"
"2020.06.06","","","",""
"szombat","25.9","14.8","3.4","1.9"
"2020.06.07","","","",""
"vasárnap","27","19.3","4.5","12.1"
"2020.06.08","","","",""
"hétfő","23.6","15.4","4.2","3.1"
"2020.06.09","","","",""
"kedd","26.1","15.9","2.1","1.6"
"2020.06.10","","","",""
"szerda","25.1","18.7","3.3","8.2"
"2020.06.11","","","",""
"csütörtök","25.3","18.4","3","2.4"
"2020.06.12","","","",""
"péntek","26.5","16.5","2.2","0.4"
"2020.06.13","","","",""
"szombat","30.2","19.1","2.3","1.2"
"2020.06.14","","","",""
"vasárnap","28.3","22.2","3.2","17.6"
"2020.06.15","","","",""
"hétfő","23.6","18.1","3.3","19"
"2020.06.16","","","",""
"kedd","21.3","18","4.1","19.3"
"2020.06.17","","","",""
"szerda","23.1","18.9","3.8","9.9"
"2020.06.18","","","",""
"csütörtök","22.5","18.6","5.5","10.2"
"2020.06.19","","","",""
"péntek","24","16.8","7.9","0"
"2020.06.20","","","",""
"szombat","20.3","16.6","7.6","0"
"2020.06.21","","","",""
"vasárnap","21.2","15.1","6.8","2.8"
"2020.06.22","","","",""
"hétfő","22.8","17.1","5.8","0.8"
"2020.06.23","","","",""
"kedd","26.2","18.8","4.4","0"
"2020.06.24","","","",""
"szerda","25.1","15.8","3.7","0"
"2020.06.25","","","",""
"csütörtök","27.5","18.2","3.3","0"
"2020.06.26","","","",""
"péntek","29.7","20.3","6.2","3.6"
"2020.06.27","","","",""
"szombat","30.4","20.7","4.4","2.3"
"2020.06.28","","","",""
"vasárnap","33","22.9","3.5","0"
"2020.06.29","","","",""
"hétfő","32","19.1","9.6","2.3"
"2020.06.30","","","",""
"kedd","27.6","18","4.8","0"
"2020.07.01","","","",""
"szerda","30.5","20.7","4.1","0"
"2020.07.02","","","",""
"csütörtök","31.8","23.1","3.1","3.9"
"2020.07.03","","","",""
"péntek","25.2","21.4","7","6.4"
"2020.07.04","","","",""
"szombat","28.1","20.4","3.5","1.2"
"2020.07.05","","","",""
"vasárnap","29.3","19.3","4.1","0"
"2020.07.06","","","",""
"hétfő","29.8","21.9","7.6","0"
"2020.07.07","","","",""
"kedd","23.1","15.8","9.1","1.3"
"2020.07.08","","","",""
"szerda","26.5","16.2","3.5","0"
"2020.07.09","","","",""
"csütörtök","26.7","19.4","3.7","0"
"2020.07.10","","","",""
"péntek","31.8","20.7","4.8","0"
"2020.07.11","","","",""
"szombat","31.2","18.1","6.3","3.5"
"2020.07.12","","","",""
"vasárnap","22.6","16.2","5.2","4"
"2020.07.13","","","",""
"hétfő","23.8","17.1","3.2","0.3"
"2020.07.14","","","",""
"kedd","24.6","17.4","2.2","0"
"2020.07.15","","","",""
"szerda","26","18.1","3.4","0"
"2020.07.16","","","",""
"csütörtök","24.6","18.6","5","0"
"2020.07.17","","","",""
"péntek","23.1","16.4","4.7","0.8"
"2020.07.18","","","",""
"szombat","21.2","17.1","2.6","2.1"
"2020.07.19","","","",""
"vasárnap","27.4","16.4","2.2","3.2"
